42, 90, 34, 244
181, 277, 94, 293
89, 211, 55, 294
23, 51, 62, 295
123, 251, 11, 117
105, 281, 86, 298
222, 243, 26, 299
131, 273, 5, 300
47, 259, 301, 10, 227
122, 289, 142, 302
152, 232, 67, 303
4, 29, 27, 314
102, 172, 25, 305
230, 260, 141, 307
154, 203, 186, 309
19, 37, 15, 159
45, 205, 61, 310
101, 138, 49, 311
182, 224, 59, 312
210, 235, 7, 313
110, 169, 36, 57
119, 218, 3, 316
202, 229, 91, 317
106, 219, 60, 318
115, 215, 114, 319
128, 255, 21, 320
32, 269, 30, 321
194, 201, 50, 315, 323
136, 193, 104, 297
28, 44, 76, 165, 189
72, 135, 157, 206
160, 192, 43, 198
127, 233, 187, 261
58, 137, 191, 238
100, 204, 87, 209
107, 178, 8, 184
0, 167, 190, 214
35, 304, 1, 143
120, 158, 147, 221
13, 96, 98, 237
17, 168, 177, 129, 134, 225
38, 140, 20, 228
46, 109, 121, 306
79, 126, 113, 125
52, 196, 95, 292
18, 212, 188, 275
213, 220, 63, 264
14, 197, 116, 240
153, 155, 54, 242
56, 231, 39, 290
22, 161, 173, 248
12, 108, 99, 175, 132, 249
151, 200, 68, 268
81, 247, 80, 322
77, 83, 234, 40, 252
208, 236, 9, 256
241, 291, 162, 257
78, 226, 71, 258
164, 245, 85, 262
16, 217, 41, 296
48, 179, 130, 207
150, 267, 133, 266
2, 180, 53, 284
93, 253, 84, 283
174, 265, 148, 270
171, 183, 139, 271
111, 170, 82, 272
73, 250, 64, 274
163, 195, 185, 276
70, 97, 146, 166
75, 103, 66, 278
118, 254, 145, 279
6, 263, 24, 280
144, 199, 69, 282
112, 223, 33, 308
149, 239, 31, 285
92, 216, 156, 286
65, 176, 88, 287
124, 246, 74, 288
